global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/mean_average_precision,validation/accuracy,validation/loss,validation/mean_average_precision,validation/num_examples,test/accuracy,test/loss,test/mean_average_precision,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
39025,,,,0.9868565201759338,0.0542040169239044,0.0377904177983868,0.9841179251670836,0.0648625344038009,0.0390570076340701,43793.0,0.983142077922821,0.068092755973339,0.03700057401007,43793.0,12264.889637947084,18824.137818813324,12264.889637947084,6556.3126747608185,1.8881866931915283,0.0
39794,,,,0.9868008494377136,0.0544911213219165,0.0318252653977525,0.9841179251670836,0.0648736283183097,0.0387561930181924,43793.0,0.983142077922821,0.0681309923529625,0.0371586008497853,43793.0,12505.061995267868,19186.58464860916,12505.061995267868,6678.537026405335,1.9177961349487305,0.0
40561,,,,0.9867624640464784,0.0546749606728553,0.0349487807194704,0.9841179251670836,0.0647841989994049,0.0391313922675321,43793.0,0.983142077922821,0.0680588483810424,0.0368198706367461,43793.0,12745.33906674385,19548.553141117096,12745.33906674385,6800.1773064136505,1.948657274246216,0.0
41327,,,,0.98665452003479,0.0548343658447265,0.0334898685125109,0.9841212034225464,0.0646959021687507,0.0390044330392605,43793.0,0.9831336736679076,0.0679294764995575,0.0369069956621947,43793.0,12985.358280181885,19904.63490366936,12985.358280181885,6916.188554525375,1.979405403137207,0.0
42090,,,,0.9867112636566162,0.0548548772931098,0.0386775357115757,0.9841203689575196,0.0650641024112701,0.0388681967536113,43793.0,0.983134925365448,0.0683640241622924,0.0367948897329113,43793.0,13225.311944246292,20261.540314674377,13225.311944246292,7033.089188814163,2.0098519325256348,0.0
42850,,,,0.986815333366394,0.0545820370316505,0.0353626713825761,0.9841179251670836,0.0648910030722618,0.0380731123825213,43793.0,0.983142077922821,0.0681799724698066,0.0363161090769614,43793.0,13465.535601377487,20617.1767923832,13465.535601377487,7148.450689554215,2.0409927368164062,0.0
43619,,,,0.986765444278717,0.0545746907591819,0.0356098962550401,0.9841179251670836,0.0645499154925346,0.03871607214029,43793.0,0.983142077922821,0.0677504912018776,0.0369289180652642,43793.0,13705.79625082016,20973.501518011093,13705.79625082016,7264.4638521671295,2.071406126022339,0.0
44377,,,,0.9867739081382751,0.0545700453221797,0.0316343850279533,0.984128475189209,0.0647360011935234,0.0384146622822673,43793.0,0.9831382632255554,0.0680187419056892,0.0361245546984365,43793.0,13945.758490800858,21333.71261310577,13945.758490800858,7384.66216135025,2.1014997959136963,0.0
45148,,,,0.9867327213287354,0.0548930838704109,0.0345856042484813,0.9841179251670836,0.0648928880691528,0.0381451630400956,43793.0,0.983142077922821,0.0682321712374687,0.0359515881764145,43793.0,14185.833312034609,21691.85756921768,14185.833312034609,7502.681117296219,2.13191556930542,0.0
45916,,,,0.9865249991416932,0.0552078112959861,0.0363653883984318,0.9841179251670836,0.0646609589457511,0.0389307399433948,43793.0,0.983142077922821,0.0678773000836372,0.0370970706938514,43793.0,14426.06940793991,22051.31669259072,14426.06940793991,7621.853614807129,2.161863088607788,0.0
