global_step,grad_norm,loss,lr,train/accuracy,train/loss,validation/accuracy,validation/loss,validation/num_examples,test/accuracy,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
41773,,,,0.7052929401397705,1.4253071546554563,0.6560999751091003,1.6580243110656738,50000.0,0.5297999978065491,2.272401571273804,10000.0,18528.68613743782,19898.7505133152,18528.68613743782,1365.3447093963623,2.4299914836883545,0.0
42716,,,,0.7190039157867432,1.3476608991622925,0.6579799652099609,1.6098624467849731,50000.0,0.5329000353813171,2.2510550022125244,10000.0,18948.75331950188,20351.370623350143,18948.75331950188,1397.7624843120575,2.513845682144165,0.0
43660,,,,0.7412695288658142,1.282475829124451,0.6583399772644043,1.6403813362121582,50000.0,0.5339000225067139,2.260350465774536,10000.0,19368.78907442093,20803.207007408146,19368.78907442093,1429.4386031627655,2.5878775119781494,0.0
44603,,,,0.7119140625,1.3760470151901243,0.6593799591064453,1.6086763143539429,50000.0,0.5400000214576721,2.224944591522217,10000.0,19789.002056598663,21256.91262984276,19789.002056598663,1462.8063402175903,2.662196636199951,0.0
45547,,,,0.7222070097923279,1.3885163068771362,0.6607399582862854,1.646809220314026,50000.0,0.5376999974250793,2.2541306018829346,10000.0,20208.88995218277,21709.77140426636,20208.88995218277,1495.6524074077606,2.736479520797729,0.0
46494,,,,0.7264257669448853,1.3209917545318604,0.6604200005531311,1.6209436655044556,50000.0,0.5358999967575073,2.247793912887573,10000.0,20629.13169836998,22162.08744239807,20629.13169836998,1527.600560426712,2.812742233276367,0.0
47437,,,,0.7200585603713989,1.3419371843338013,0.6700400114059448,1.5713131427764893,50000.0,0.5491999983787537,2.1823172569274902,10000.0,21049.157346248627,22615.777438402176,21049.157346248627,1561.1433663368225,2.883979320526123,0.0
48382,,,,0.7225390672683716,1.3161181211471558,0.668720006942749,1.5585108995437622,50000.0,0.5435000061988831,2.187086343765259,10000.0,21469.40500068665,23068.800148248672,21469.40500068665,1593.7889444828031,2.96335506439209,0.0
49328,,,,0.7295702695846558,1.32089364528656,0.6683799624443054,1.584089279174805,50000.0,0.5487000346183777,2.214339256286621,10000.0,21889.58107852936,23522.37242627144,21889.58107852936,1627.058847904205,3.038719415664673,0.0
50262,,,,0.75111323595047,1.242991924285889,0.6708799600601196,1.595406413078308,50000.0,0.5437999963760376,2.221703290939331,10000.0,22309.31725668907,23975.29113292694,22309.31725668907,1659.8532028198242,3.377729892730713,0.0
51206,,,,0.7286913990974426,1.2951897382736206,0.6754599809646606,1.5347332954406738,50000.0,0.5568000078201294,2.1566615104675293,10000.0,22729.569334983826,24429.118430376053,22729.569334983826,1693.3043072223663,3.451558351516724,0.0
52149,,,,0.730664074420929,1.3300645351409912,0.6757000088691711,1.576613426208496,50000.0,0.5532000064849854,2.19714617729187,10000.0,23149.76957464218,24882.657920122147,23149.76957464218,1726.5138669013977,3.531054973602295,0.0
53092,,,,0.7451562285423279,1.2348496913909912,0.6757000088691711,1.535846710205078,50000.0,0.5504000186920166,2.1567583084106445,10000.0,23569.82219362259,25335.405978679657,23569.82219362259,1759.075911283493,3.614144325256348,0.0
54035,,,,0.7321093678474426,1.2826687097549438,0.6787399649620056,1.5279819965362549,50000.0,0.5512000322341919,2.1538314819335938,10000.0,23989.99782896042,25787.17130637169,23989.99782896042,1790.539348602295,3.6909446716308594,0.0
54982,,,,0.7354296445846558,1.265467882156372,0.6820799708366394,1.5104522705078125,50000.0,0.558899998664856,2.129535675048828,10000.0,24410.12868189812,26237.95988893509,24410.12868189812,1821.06638622284,3.7720909118652335,0.0
55926,,,,0.7431054711341858,1.259491801261902,0.6780799627304077,1.546381950378418,50000.0,0.5586000084877014,2.1575231552124023,10000.0,24830.324995994568,26691.255583047867,24830.324995994568,1854.0278358459475,3.8601620197296143,0.0
56873,,,,0.76220703125,1.1943800449371338,0.6808199882507324,1.5425962209701538,50000.0,0.5592000484466553,2.141071319580078,10000.0,25250.40777349472,27143.65207004547,25250.40777349472,1886.218238115311,3.934016704559326,0.0
57820,,,,0.7443554401397705,1.274711847305298,0.6864399909973145,1.525033712387085,50000.0,0.5609000325202942,2.146873235702514,10000.0,25670.46908259392,27594.84605360031,25670.46908259392,1917.22625207901,4.0079429149627686,0.0
58762,,,,0.747363269329071,1.2276484966278076,0.6859399676322937,1.4957218170166016,50000.0,0.558899998664856,2.115358352661133,10000.0,26090.363184452057,28047.252473831177,26090.363184452057,1949.608675479889,4.088513612747192,0.0
59707,,,,0.7544921636581421,1.2095413208007812,0.6843599677085876,1.518203854560852,50000.0,0.5609000325202942,2.1360626220703125,10000.0,26510.405361175537,28499.87563514709,26510.405361175537,1982.0650355815887,4.16347599029541,0.0
60653,,,,0.7444531321525574,1.2547277212142944,0.6864199638366699,1.5044149160385132,50000.0,0.5658000111579895,2.113909244537353,10000.0,26930.48400044441,28950.70013141632,26930.48400044441,2012.6819624900816,4.2421534061431885,0.0
61597,,,,0.7471093535423279,1.2302343845367432,0.685259997844696,1.4962069988250732,50000.0,0.5636000037193298,2.1053466796875,10000.0,27350.634995937347,29404.3138267994,27350.634995937347,2046.0133817195888,4.322283029556274,0.0
62542,,,,0.7598242163658142,1.181804895401001,0.6896599531173706,1.471318244934082,50000.0,0.5619000196456909,2.085496425628662,10000.0,27770.669958114624,29859.0572245121,27770.669958114624,2080.589325428009,4.405395984649658,0.0
63487,,,,0.7753124833106995,1.098402738571167,0.6911199688911438,1.4574326276779177,50000.0,0.5593000054359436,2.083871841430664,10000.0,28190.70958852768,30311.36638379097,28190.70958852768,2112.7246515750885,4.489342927932739,0.0
64433,,,,0.7504491806030273,1.2219895124435425,0.6916399598121643,1.484982132911682,50000.0,0.5652000308036804,2.095966339111328,10000.0,28610.974611997604,30762.703275680546,28610.974611997604,2143.680255651474,4.555401563644409,0.0
65375,,,,0.755078136920929,1.2020176649093628,0.6890599727630615,1.479101538658142,50000.0,0.5660000443458557,2.0962131023406982,10000.0,29030.98883199692,31215.863961219788,29030.98883199692,2176.694760799408,4.637283563613892,0.0
66318,,,,0.7678515315055847,1.136973261833191,0.694920003414154,1.4564460515975952,50000.0,0.5711000561714172,2.081252098083496,10000.0,29450.906225204468,31669.554881095886,29450.906225204468,2210.343425273896,4.71234655380249,0.0
67262,,,,0.7578905820846558,1.1972391605377195,0.6941199898719788,1.4716969728469849,50000.0,0.5701000094413757,2.0859897136688232,10000.0,29871.05554819107,32123.723955631256,29871.05554819107,2244.239982366562,4.785568952560425,0.0
68206,,,,0.7544140219688416,1.2018593549728394,0.6955199837684631,1.466389536857605,50000.0,0.5689000487327576,2.084996700286865,10000.0,30291.267352104187,32575.965250492096,30291.267352104187,2276.143301010132,4.861632823944092,0.0
69149,,,,0.7633007764816284,1.1630223989486694,0.69896000623703,1.4472053050994873,50000.0,0.5730000138282776,2.0620317459106445,10000.0,30711.211487054825,33027.686616420746,30711.211487054825,2307.796718597412,4.935954809188843,0.0
70094,,,,0.7852538824081421,1.0924487113952637,0.6977999806404114,1.461538553237915,50000.0,0.5706000328063965,2.077921152114868,10000.0,31131.20369577408,33480.085042476654,31131.20369577408,2340.066081047058,5.022961378097534,0.0
71038,,,,0.7596484422683716,1.1691356897354126,0.6964199542999268,1.4354736804962158,50000.0,0.5719000101089478,2.0646471977233887,10000.0,31551.351783037186,33931.90068793297,31551.351783037186,2371.608025312424,5.098424196243286,0.0
71983,,,,0.7624218463897705,1.1673988103866575,0.6953999996185303,1.4521559476852417,50000.0,0.5670000314712524,2.077667713165283,10000.0,31971.66217136383,34383.84804534912,31971.66217136383,2403.1212775707245,5.172456026077271,0.0
72930,,,,0.7743359208106995,1.0995594263076782,0.7035599946975708,1.4114254713058472,50000.0,0.5740000009536743,2.0447113513946533,10000.0,32391.94247031212,34835.082544088364,32391.94247031212,2433.949372768402,5.247830867767334,0.0
73876,,,,0.7610155940055847,1.1607056856155396,0.702239990234375,1.4279249906539917,50000.0,0.5761000514030457,2.0487754344940186,10000.0,32812.083668231964,35286.23430681229,32812.083668231964,2464.830554485321,5.327407121658325,0.0
74822,,,,0.7680858969688416,1.1778713464736938,0.7032600045204163,1.4554100036621094,50000.0,0.5803000330924988,2.059623956680298,10000.0,33232.29968929291,35739.82318973541,33232.29968929291,2498.070485115052,5.410284042358398,0.0
75769,,,,0.7733398079872131,1.1191283464431765,0.7023599743843079,1.412348747253418,50000.0,0.5787000060081482,2.046600580215454,10000.0,33652.41584229469,36193.38960194588,33652.41584229469,2531.3915474414825,5.490220308303833,0.0
