global_step,grad_norm,loss,lr,train/ssim,train/loss,validation/ssim,validation/loss,validation/num_examples,test/ssim,test/loss,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
23924,,,,0.5565651484898159,0.5087584768022809,0.5396821596814328,0.5252739128666644,3554.0,0.5609862054070092,0.5241963403313494,3581.0,5666.050430774689,6165.341149806976,5666.050430774689,495.0789234638214,3.4100844860076904,0.0
24271,,,,0.6481306212288993,0.362922259739467,0.6270601511940771,0.3817603047402574,3554.0,0.646586435462336,0.3831998116142488,3581.0,5746.028753757477,6249.423478126526,5746.028753757477,499.1436252593994,3.438443899154663,0.0
24620,,,,0.6528417723519462,0.3572657108306885,0.6309376868493247,0.3762793683173888,3554.0,0.6503851708670763,0.3778705442461079,3581.0,5826.147307395935,6333.644608259201,5826.147307395935,503.2057123184204,3.4676220417022705,0.0
24967,,,,0.649930477142334,0.3463032586233956,0.6357051611080824,0.3666087479556486,3554.0,0.6489616421739738,0.3694262511235514,3581.0,5906.3156151771545,6417.91289973259,5906.3156151771545,507.2651462554932,3.4971134662628174,0.0
25315,,,,0.6434206962585449,0.3616986615317208,0.6250884099562113,0.3818604958211698,3554.0,0.6429557555283091,0.3833119622224937,3581.0,5986.31294465065,6502.014082670212,5986.31294465065,511.3290796279907,3.525779485702514,0.0
25664,,,,0.6537602288382394,0.360041856765747,0.6344051844092924,0.3773616861612795,3554.0,0.6518623545928163,0.3796431374463313,3581.0,6066.324273109436,6586.12764954567,6066.324273109436,515.3916280269623,3.554405689239502,0.0
26009,,,,0.6464136668613979,0.3462461403438023,0.6350742698587859,0.3641967086491453,3554.0,0.6473616722807874,0.3678124072797403,3581.0,6146.3553814888,6670.258234262466,6146.3553814888,519.4522371292114,3.5824012756347656,0.0
26356,,,,0.6630933625357491,0.3442583424704415,0.6396287908430641,0.3660108301165939,3554.0,0.6589185027096133,0.3669747206393116,3581.0,6226.415628433228,6754.418637752533,6226.415628433228,523.5126612186432,3.61098837852478,0.0
26703,,,,0.6499387877328056,0.3444105216435024,0.6374423789656022,0.364740048624789,3554.0,0.6507001470434236,0.3673441699682351,3581.0,6306.456778287888,6838.560145378113,6306.456778287888,527.5734403133392,3.639506340026856,0.0
27050,,,,0.650357859475272,0.3602151189531599,0.6276797078336029,0.3827782557395716,3554.0,0.64743625754852,0.3832276958688215,3581.0,6386.648739814758,6922.85869717598,6386.648739814758,531.6387498378754,3.669856309890747,0.0
27399,,,,0.6697844777788434,0.3384147371564592,0.6473680623944851,0.3605881810657885,3554.0,0.6656981262871754,0.361527712176679,3581.0,6466.834866285324,7007.145411014557,6466.834866285324,535.6991353034973,3.698877334594727,0.0
27747,,,,0.6672262464250837,0.3442597389221191,0.6440584937306556,0.3658607667526906,3554.0,0.6633985274931933,0.3668230275673694,3581.0,6546.913324356079,7091.328946352005,6546.913324356079,539.7636647224426,3.7283103466033936,0.0
28093,,,,0.6758691242762974,0.3323848247528076,0.6545748820651027,0.3547231731082055,3554.0,0.672249494401878,0.3557605461114214,3581.0,6627.062225341797,7175.5814752578735,6627.062225341797,543.8260598182678,3.758586883544922,0.0
28439,,,,0.6632274218967983,0.3327785219464983,0.6465358959535031,0.354659836682699,3554.0,0.6617575152497557,0.3562574857974379,3581.0,6707.2219161987305,7259.846013307571,6707.2219161987305,547.8894231319427,3.788964033126831,0.0
28784,,,,0.668161119733538,0.3321466105324881,0.6467190357695555,0.3540233811704241,3554.0,0.6643301615732338,0.3551175720163711,3581.0,6787.352942943573,7344.077459335327,6787.352942943573,551.9488327503204,3.818793296813965,0.0
29131,,,,0.680286134992327,0.3275955063956124,0.6567697433789392,0.3498960032379888,3554.0,0.6757499569123498,0.3509638066466245,3581.0,6867.463270664215,7428.29287815094,6867.463270664215,556.0140745639801,3.847597599029541,0.0
29475,,,,0.674492631639753,0.3332509994506836,0.650241214234841,0.3556065170296673,3554.0,0.6697323438808992,0.3564365177106604,3581.0,6947.523044586182,7512.452573776245,6947.523044586182,560.0731456279755,3.8773345947265625,0.0
29825,,,,0.6788789885384696,0.324347904750279,0.6567450133212578,0.3462773775477455,3554.0,0.674527890254119,0.3478149652680815,3581.0,7027.692557811737,7596.727569580078,7027.692557811737,564.1380295753479,3.906658172607422,0.0
30175,,,,0.6826203891209194,0.3232837745121547,0.6614059422481711,0.3446752819776132,3554.0,0.6784912722964954,0.3464208207161058,3581.0,7107.770183563232,7680.914299726486,7107.770183563232,568.2060613632202,3.936489820480346,0.0
