global_step,grad_norm,loss,lr,train/accuracy,train/loss,train/bleu,validation/accuracy,validation/loss,validation/bleu,validation/num_examples,test/accuracy,test/loss,test/bleu,test/num_examples,score,total_duration,accumulated_submission_time,accumulated_eval_time,accumulated_logging_time,preemption_count
13900,0.1501595,1.9885213,0.0013955147,,,,,,,,,,,,,,,,,
14000,0.16844594,1.929508,0.0013950125,,,,,,,,,,,,,,,,,
14100,0.14113817,1.9332069,0.0013945063,,,,,,,,,,,,,,,,,
14200,0.1827948,1.9164879,0.0013939962,,,,,,,,,,,,,,,,,
14300,0.1519483,1.8525342,0.0013934822,,,,,,,,,,,,,,,,,
14400,0.13975729,1.9575114,0.0013929645,,,,,,,,,,,,,,,,,
14408,,,,0.6338121891021729,1.794472098350525,30.10123497236047,0.6474066972732544,1.6895735263824463,27.120807629801803,3000.0,0.6571494936943054,1.6271942853927612,26.53027499499964,3003.0,16017.01871585846,26696.27951693535,16017.01871585846,10678.240671396255,0.534468412399292,0.0
14500,0.16113558,1.9225901,0.0013924428,,,,,,,,,,,,,,,,,
14600,0.16590904,2.0193605,0.0013919174,,,,,,,,,,,,,,,,,
14700,0.1649804,1.9319378,0.001391388,,,,,,,,,,,,,,,,,
14800,0.15059292,1.9483782,0.001390855,,,,,,,,,,,,,,,,,
14900,0.14125778,1.8044,0.0013903178,,,,,,,,,,,,,,,,,
15000,0.15037341,1.8802748,0.0013897769,,,,,,,,,,,,,,,,,
15100,0.1655008,1.849164,0.0013892325,,,,,,,,,,,,,,,,,
15167,,,,0.6341674327850342,1.8015236854553225,30.76324959886848,0.6493285894393921,1.6780084371566772,27.41202159148005,3000.0,0.6582186222076416,1.6183736324310305,26.507245021729634,3003.0,16858.266335964203,28067.75764131546,16858.266335964203,11208.416748046877,0.5636069774627686,0.0
15200,0.1461371,1.8566362,0.0013886839,,,,,,,,,,,,,,,,,
15300,0.15284827,1.9359946,0.0013881316,,,,,,,,,,,,,,,,,
15400,0.21150552,1.8138584,0.0013875755,,,,,,,,,,,,,,,,,
15500,0.15135834,1.878408,0.0013870155,,,,,,,,,,,,,,,,,
15600,0.15884097,1.905856,0.0013864518,,,,,,,,,,,,,,,,,
15700,0.1555591,1.8525438,0.0013858841,,,,,,,,,,,,,,,,,
15800,0.15220338,1.8192416,0.0013853129,,,,,,,,,,,,,,,,,
15900,0.14819543,1.8553208,0.0013847376,,,,,,,,,,,,,,,,,
15926,,,,0.6300531029701233,1.806317687034607,30.383305502940857,0.6522795557975769,1.6652979850769043,27.46524043918244,3000.0,0.6594968438148499,1.5985342264175415,26.199654134045662,3003.0,17699.30827498436,29360.01308226585,17699.30827498436,11659.576871156693,0.5917668342590332,0.0
16000,0.15283771,1.8658899,0.0013841586,,,,,,,,,,,,,,,,,
16100,0.17625701,1.8887864,0.0013835758,,,,,,,,,,,,,,,,,
16200,0.17046691,1.8823602,0.0013829893,,,,,,,,,,,,,,,,,
16300,0.15696564,1.8747561,0.001382399,,,,,,,,,,,,,,,,,
16400,0.1527019,1.8380709,0.0013818048,,,,,,,,,,,,,,,,,
16500,0.1602342,1.9016258,0.0013812068,,,,,,,,,,,,,,,,,
16600,0.1461664,1.8368272,0.001380605,,,,,,,,,,,,,,,,,
16685,,,,0.6345376968383789,1.7858009338378906,30.932452780447328,0.6510644555091858,1.6631183624267578,27.60808448014052,3000.0,0.6589739322662354,1.5965086221694946,26.7522377739873,3003.0,18540.193998336792,30725.61467885971,18540.193998336792,12184.238087892532,0.6213541030883789,0.0
16700,0.17882118,1.9461092,0.0013799996,,,,,,,,,,,,,,,,,
16800,0.15794857,1.807495,0.0013793902,,,,,,,,,,,,,,,,,
16900,0.14544632,1.8539139,0.0013787773,,,,,,,,,,,,,,,,,
17000,0.15020609,1.9044672,0.0013781604,,,,,,,,,,,,,,,,,
17100,0.14901097,1.9738563,0.00137754,,,,,,,,,,,,,,,,,
17200,0.16321222,1.8287535,0.0013769155,,,,,,,,,,,,,,,,,
17300,0.14904939,1.8410578,0.0013762874,,,,,,,,,,,,,,,,,
17400,0.15035772,1.7642672,0.0013756556,,,,,,,,,,,,,,,,,
17444,,,,0.6329439878463745,1.798033595085144,30.845882928873813,0.6524283289909363,1.6553055047988892,27.71553988580194,3000.0,0.6623322367668152,1.588464856147766,26.883008428988727,3003.0,19381.244166851044,32082.18605399132,19381.244166851044,12699.704502105713,0.6509571075439453,0.0
17500,0.20267045,1.8910084,0.00137502,,,,,,,,,,,,,,,,,
17600,0.18991175,1.8657179,0.0013743807,,,,,,,,,,,,,,,,,
17700,0.15800546,1.8699378,0.0013737376,,,,,,,,,,,,,,,,,
17800,0.18969013,1.8563613,0.0013730907,,,,,,,,,,,,,,,,,
17900,0.14575279,1.799943,0.00137244,,,,,,,,,,,,,,,,,
18000,0.15561175,1.8047024,0.0013717859,,,,,,,,,,,,,,,,,
18100,0.15074353,1.7659806,0.0013711278,,,,,,,,,,,,,,,,,
18200,0.15983893,1.8472939,0.001370466,,,,,,,,,,,,,,,,,
18202,,,,0.6335828304290771,1.7974563837051392,30.528346436990667,0.6528995037078857,1.647081971168518,27.732644389283674,3000.0,0.6623554825782776,1.57995343208313,26.65992367551292,3003.0,20221.68837404251,33381.87673187256,20221.68837404251,13158.895002365112,0.6816413402557373,0.0
18300,0.14401722,1.8448113,0.0013698007,,,,,,,,,,,,,,,,,
18400,0.14027528,1.8328524,0.0013691314,,,,,,,,,,,,,,,,,
18500,0.1509414,1.8513321,0.0013684585,,,,,,,,,,,,,,,,,
18600,0.14978456,1.879252,0.0013677818,,,,,,,,,,,,,,,,,
18700,0.1395738,1.8622296,0.0013671016,,,,,,,,,,,,,,,,,
18800,0.22641401,1.9343547,0.0013664175,,,,,,,,,,,,,,,,,
18900,0.1513873,1.8185604,0.0013657298,,,,,,,,,,,,,,,,,
18960,,,,0.6564409732818604,1.6047260761260986,32.48081969378232,0.6549825668334961,1.6422569751739502,27.72001915981508,3000.0,0.662436842918396,1.574138879776001,26.73893761936336,3003.0,21061.9763674736,34710.973915576935,21061.9763674736,13647.64934682846,0.7113738059997559,0.0
19000,0.15652339,1.7653792,0.0013650383,,,,,,,,,,,,,,,,,
19100,0.17922232,1.8224883,0.0013643433,,,,,,,,,,,,,,,,,
19200,0.16247047,1.8511584,0.0013636445,,,,,,,,,,,,,,,,,
19300,0.1463185,1.7791675,0.0013629419,,,,,,,,,,,,,,,,,
19400,0.18369897,1.8656784,0.0013622359,,,,,,,,,,,,,,,,,
19500,0.17484373,1.9058264,0.0013615261,,,,,,,,,,,,,,,,,
19600,0.16839689,1.7946393,0.0013608126,,,,,,,,,,,,,,,,,
19700,0.18075368,1.8632132,0.0013600953,,,,,,,,,,,,,,,,,
19718,,,,0.6449694037437439,1.7023046016693115,31.84747998444828,0.6566564440727234,1.628542423248291,28.08534661096885,3000.0,0.6645749807357788,1.5661638975143433,27.32658736160635,3003.0,21902.32865357399,36001.59449672699,21902.32865357399,14097.862208366394,0.7415328025817871,0.0
19800,0.16426589,1.8069069,0.0013593745,,,,,,,,,,,,,,,,,
19900,0.16153695,1.7933536,0.00135865,,,,,,,,,,,,,,,,,
20000,0.1576223,1.8685082,0.0013579219,,,,,,,,,,,,,,,,,
20100,0.159013,1.8065952,0.0013571902,,,,,,,,,,,,,,,,,
20200,0.15229228,1.878163,0.0013564547,,,,,,,,,,,,,,,,,
20300,0.14814752,1.8286854,0.0013557156,,,,,,,,,,,,,,,,,
20400,0.17628734,1.9528769,0.0013549731,,,,,,,,,,,,,,,,,
20476,,,,0.6411097645759583,1.7296444177627563,31.27100809462115,0.6557512879371643,1.62597393989563,27.868217136582324,3000.0,0.6640985608100891,1.559443712234497,26.986558246790043,3003.0,22742.7783741951,37334.36669826508,22742.7783741951,14590.129441022871,0.7714595794677734,0.0
20500,0.14377242,1.7655692,0.0013542266,,,,,,,,,,,,,,,,,
20600,0.20155378,1.9296999,0.0013534767,,,,,,,,,,,,,,,,,
20700,0.1458684,1.8533714,0.0013527232,,,,,,,,,,,,,,,,,
20800,0.14188857,1.7695475,0.0013519659,,,,,,,,,,,,,,,,,
20900,0.17622764,1.7831706,0.0013512049,,,,,,,,,,,,,,,,,
21000,0.1728906,1.8014551,0.0013504407,,,,,,,,,,,,,,,,,
21100,0.15654218,1.7862757,0.0013496727,,,,,,,,,,,,,,,,,
21200,0.15806954,1.8257798,0.001348901,,,,,,,,,,,,,,,,,
21234,,,,0.639505922794342,1.7421770095825195,30.88728468176501,0.6564828753471375,1.6224875450134275,28.16438759797764,3000.0,0.6654813885688782,1.5550638437271118,27.162185525907223,3003.0,23582.986607074738,38667.94981455803,23582.986607074738,15083.44054555893,0.8101351261138916,0.0
21300,0.15337205,1.7961092,0.0013481256,,,,,,,,,,,,,,,,,
21400,0.14642839,1.8055184,0.0013473469,,,,,,,,,,,,,,,,,
21500,0.16820984,1.850571,0.0013465645,,,,,,,,,,,,,,,,,
21600,0.17244002,1.824398,0.0013457783,,,,,,,,,,,,,,,,,
21700,0.17056288,1.7956375,0.0013449888,,,,,,,,,,,,,,,,,
21800,0.15724652,1.8747249,0.0013441957,,,,,,,,,,,,,,,,,
21900,0.1551647,1.7830998,0.0013433989,,,,,,,,,,,,,,,,,
21992,,,,0.6395235061645508,1.7443008422851562,31.07042501529593,0.6586031317710876,1.6158716678619385,28.15411834920449,3000.0,0.669072151184082,1.5435054302215576,27.64281925908604,3003.0,24423.33832883835,40120.292355299,24423.33832883835,15695.375528335571,0.8404567241668701,0.0
22000,0.15765087,1.781988,0.0013425985,,,,,,,,,,,,,,,,,
22100,0.15384144,1.8375591,0.0013417947,,,,,,,,,,,,,,,,,
22200,0.16375683,1.8780769,0.0013409873,,,,,,,,,,,,,,,,,
22300,0.18718086,1.7625418,0.0013401762,,,,,,,,,,,,,,,,,
22400,0.15668717,1.9415357,0.0013393617,,,,,,,,,,,,,,,,,
22500,0.16212802,1.7667295,0.0013385436,,,,,,,,,,,,,,,,,
22600,0.16442248,1.7777842,0.0013377221,,,,,,,,,,,,,,,,,
22700,0.14848678,1.8170626,0.0013368968,,,,,,,,,,,,,,,,,
22750,,,,0.636174201965332,1.7699233293533323,30.76554211830371,0.6574376225471497,1.6115496158599854,27.68593095867479,3000.0,0.6678287386894226,1.5405255556106567,26.96254422665845,3003.0,25263.664198875427,41444.61616206169,25263.664198875427,16179.315982103348,0.872626781463623,0.0
22800,0.19020261,1.7955275,0.001336068,,,,,,,,,,,,,,,,,
22900,0.14595859,1.773274,0.0013352359,,,,,,,,,,,,,,,,,
23000,0.19215313,1.8442761,0.0013344001,,,,,,,,,,,,,,,,,
23100,0.18827423,1.8080441,0.0013335609,,,,,,,,,,,,,,,,,
23200,0.14900926,1.8423548,0.0013327182,,,,,,,,,,,,,,,,,
23300,0.17481096,1.7967633,0.001331872,,,,,,,,,,,,,,,,,
23400,0.14383009,1.7567616,0.001331022,,,,,,,,,,,,,,,,,
23500,0.16574317,1.7941711,0.0013301689,,,,,,,,,,,,,,,,,
